hydrophobicity_PRAM900101.G1,hydrophobicity_PRAM900101.G2,hydrophobicity_PRAM900101.G3,hydrophobicity_ARGP820101.G1,hydrophobicity_ARGP820101.G2,hydrophobicity_ARGP820101.G3,hydrophobicity_ZIMJ680101.G1,hydrophobicity_ZIMJ680101.G2,hydrophobicity_ZIMJ680101.G3,hydrophobicity_PONP930101.G1,hydrophobicity_PONP930101.G2,hydrophobicity_PONP930101.G3,hydrophobicity_CASG920101.G1,hydrophobicity_CASG920101.G2,hydrophobicity_CASG920101.G3,hydrophobicity_ENGD860101.G1,hydrophobicity_ENGD860101.G2,hydrophobicity_ENGD860101.G3,hydrophobicity_FASG890101.G1,hydrophobicity_FASG890101.G2,hydrophobicity_FASG890101.G3,normwaalsvolume.G1,normwaalsvolume.G2,normwaalsvolume.G3,polarity.G1,polarity.G2,polarity.G3,polarizability.G1,polarizability.G2,polarizability.G3,charge.G1,charge.G2,charge.G3,secondarystruct.G1,secondarystruct.G2,secondarystruct.G3,solventaccess.G1,solventaccess.G2,solventaccess.G3,L1
0.333333333,0.5,0.166666667,0.5,0.416666667,0.083333333,0.583333333,0.333333333,0.083333333,0.666666667,0.166666667,0.166666667,0.75,0.166666667,0.083333333,0.333333333,0.5,0.166666667,0.5,0.25,0.25,0.583333333,0.166666667,0.25,0.166666667,0.5,0.333333333,0.5,0.25,0.25,0.25,0.666666667,0.083333333,0.5,0.25,0.25,0.333333333,0.333333333,0.333333333,1
0.25,0.55,0.2,0.25,0.4,0.35,0.55,0.1,0.35,0.35,0.45,0.2,0.55,0.35,0.1,0.5,0.3,0.2,0.35,0.2,0.45,0.55,0.15,0.3,0.2,0.45,0.35,0.4,0.3,0.3,0.15,0.75,0.1,0.5,0.1,0.4,0.4,0.25,0.35,1
0.285714286,0.357142857,0.357142857,0.142857143,0.642857143,0.214285714,0.5,0.285714286,0.214285714,0.142857143,0.5,0.357142857,0.357142857,0.428571429,0.214285714,0.357142857,0.285714286,0.357142857,0.214285714,0.142857143,0.642857143,0.285714286,0.214285714,0.5,0.357142857,0.285714286,0.357142857,0.285714286,0.214285714,0.5,0.214285714,0.785714286,0,0.642857143,0.214285714,0.142857143,0.5,0.285714286,0.214285714,1
0.153846154,0.538461538,0.307692308,0.076923077,0.692307692,0.230769231,0.615384615,0.230769231,0.153846154,0.230769231,0.461538462,0.307692308,0.230769231,0.615384615,0.153846154,0.153846154,0.615384615,0.230769231,0.153846154,0.076923077,0.769230769,0.538461538,0.153846154,0.307692308,0.307692308,0.538461538,0.153846154,0.538461538,0.153846154,0.307692308,0.153846154,0.846153846,0,0.692307692,0.307692308,0,0.769230769,0.153846154,0.076923077,1
0.25,0.4,0.35,0.45,0.45,0.1,0.55,0.35,0.1,0.4,0.25,0.35,0.55,0.4,0.05,0.25,0.4,0.35,0.35,0.2,0.45,0.55,0.35,0.1,0.35,0.4,0.25,0.5,0.4,0.1,0.1,0.8,0.1,0.3,0.25,0.45,0.6,0.25,0.15,1
0.466666667,0.133333333,0.4,0.266666667,0.4,0.333333333,0.333333333,0.333333333,0.333333333,0.466666667,0.066666667,0.466666667,0.466666667,0.266666667,0.266666667,0.533333333,0.066666667,0.4,0.4,0.066666667,0.533333333,0.266666667,0.4,0.333333333,0.466666667,0.066666667,0.466666667,0.133333333,0.533333333,0.333333333,0.2,0.666666667,0.133333333,0.533333333,0.333333333,0.133333333,0.466666667,0.466666667,0.066666667,1
0.25,0.7,0.05,0.5,0.3,0.2,0.7,0.15,0.15,0.5,0.4,0.1,0.75,0.2,0.05,0.4,0.6,0,0.25,0.5,0.25,0.7,0.05,0.25,0.1,0.65,0.25,0.6,0.15,0.25,0.15,0.8,0.05,0.3,0.2,0.5,0.45,0.25,0.3,1
0,0.2,0.8,0.05,0.2,0.75,0.15,0.1,0.75,0.05,0.1,0.85,0.05,0.55,0.4,0.05,0.15,0.8,0.05,0,0.95,0.15,0.65,0.2,0.85,0.15,2.78E-17,0.15,0.65,0.2,0,1,0,0.45,0.5,0.05,0.85,0,0.15,1
0.2,0.45,0.35,0.3,0.4,0.3,0.65,0.05,0.3,0.2,0.45,0.35,0.4,0.55,0.05,0.2,0.45,0.35,0.2,0.2,0.6,0.5,0.35,0.15,0.35,0.45,0.2,0.5,0.35,0.15,0.1,0.85,0.05,0.6,0.15,0.25,0.7,0.2,0.1,1
0.266666667,0.333333333,0.4,0.333333333,0.4,0.266666667,0.466666667,0.266666667,0.266666667,0.4,0.2,0.4,0.533333333,0.333333333,0.133333333,0.266666667,0.333333333,0.4,0.266666667,0.266666667,0.466666667,0.333333333,0.4,0.266666667,0.4,0.333333333,0.266666667,0.333333333,0.4,0.266666667,0.2,0.8,0,0.4,0.4,0.2,0.533333333,0.266666667,0.2,1
0.2,0.533333333,0.266666667,0.466666667,0.266666667,0.266666667,0.6,0.133333333,0.266666667,0.466666667,0.266666667,0.266666667,0.666666667,0.333333333,5.55E-17,0.333333333,0.4,0.266666667,0.2,0.466666667,0.333333333,0.6,0.266666667,0.133333333,0.266666667,0.533333333,0.2,0.466666667,0.4,0.133333333,0.066666667,0.8,0.133333333,0.4,0.266666667,0.333333333,0.4,0.2,0.4,1
0.333333333,0.466666667,0.2,0.333333333,0.4,0.266666667,0.533333333,0.2,0.266666667,0.266666667,0.4,0.333333333,0.533333333,0.466666667,0,0.533333333,0.266666667,0.2,0.333333333,0.2,0.466666667,0.333333333,0.2,0.466666667,0.333333333,0.266666667,0.4,0.333333333,0.2,0.466666667,0.2,0.733333333,0.066666667,0.533333333,0.133333333,0.333333333,0.333333333,0.333333333,0.333333333,1
0.45,0.5,0.05,0.4,0.4,0.2,0.65,0.15,0.2,0.7,0.25,0.05,0.7,0.3,5.55E-17,0.65,0.3,0.05,0.45,0.25,0.3,0.5,0.4,0.1,0.05,0.5,0.45,0.3,0.6,0.1,0.1,0.55,0.35,0.7,0.1,0.2,0.3,0.45,0.25,1
0.4,0.55,0.05,0.45,0.3,0.25,0.65,0.1,0.25,0.75,0.2,0.05,0.75,0.25,0,0.65,0.3,0.05,0.4,0.35,0.25,0.6,0.35,0.05,0.05,0.55,0.4,0.35,0.6,0.05,0.05,0.65,0.3,0.55,0.15,0.3,0.25,0.4,0.35,1
0.083333333,0.75,0.166666667,0.416666667,0.416666667,0.166666667,0.666666667,0.166666667,0.166666667,0.583333333,0.25,0.166666667,0.666666667,0.333333333,5.55E-17,0.25,0.583333333,0.166666667,0.333333333,0.333333333,0.333333333,0.75,0.083333333,0.166666667,0.166666667,0.75,0.083333333,0.583333333,0.25,0.166666667,0.083333333,0.916666667,0,0.333333333,0.25,0.416666667,0.25,0.083333333,0.666666667,1
0.55,0.25,0.2,0.4,0.5,0.1,0.7,0.2,0.1,0.5,0.3,0.2,0.55,0.4,0.05,0.55,0.25,0.2,0.5,0.05,0.45,0.3,0.5,0.2,0.2,0.25,0.55,0.3,0.5,0.2,0.15,0.7,0.15,0.75,0.15,0.1,0.45,0.55,0,1
0.4,0.25,0.35,0.2,0.5,0.3,0.65,0.1,0.25,0.2,0.45,0.35,0.5,0.45,0.05,0.45,0.25,0.3,0.4,0.1,0.5,0.35,0.35,0.3,0.35,0.25,0.4,0.3,0.4,0.3,0.25,0.6,0.15,0.65,0.15,0.2,0.55,0.4,0.05,1
0.125,0.541666667,0.333333333,0.208333333,0.5,0.291666667,0.458333333,0.25,0.291666667,0.25,0.375,0.375,0.416666667,0.458333333,0.125,0.291666667,0.375,0.333333333,0.25,0.166666667,0.583333333,0.541666667,0.25,0.208333333,0.375,0.458333333,0.166666667,0.375,0.416666667,0.208333333,0.125,0.875,0,0.458333333,0.25,0.291666667,0.583333333,0.125,0.291666667,1
0.368421053,0.368421053,0.263157895,0.526315789,0.263157895,0.210526316,0.684210526,0.105263158,0.210526316,0.421052632,0.315789474,0.263157895,0.578947368,0.368421053,0.052631579,0.421052632,0.315789474,0.263157895,0.421052632,0.157894737,0.421052632,0.368421053,0.526315789,0.105263158,0.263157895,0.315789474,0.421052632,0.368421053,0.526315789,0.105263158,0.052631579,0.684210526,0.263157895,0.631578947,0.157894737,0.210526316,0.473684211,0.368421053,0.157894737,1
0.4,0.6,0,0.55,0.3,0.15,0.8,0.05,0.15,0.75,0.25,0,0.75,0.25,0,0.55,0.45,-5.55E-17,0.45,0.3,0.25,0.65,0.3,0.05,0,0.6,0.4,0.5,0.45,0.05,0.05,0.65,0.3,0.6,0.15,0.25,0.25,0.4,0.35,1
0.1,0.35,0.55,0.25,0.35,0.4,0.4,0.2,0.4,0.3,0.15,0.55,0.3,0.45,0.25,0.1,0.35,0.55,0.2,0.1,0.7,0.35,0.5,0.15,0.55,0.35,0.1,0.35,0.5,0.15,0.05,0.95,0,0.35,0.45,0.2,0.7,0.1,0.2,1
0.238095238,0.571428571,0.19047619,0.380952381,0.428571429,0.19047619,0.619047619,0.19047619,0.19047619,0.571428571,0.238095238,0.19047619,0.571428571,0.285714286,0.142857143,0.285714286,0.523809524,0.19047619,0.428571429,0.142857143,0.428571429,0.619047619,0.095238095,0.285714286,0.19047619,0.571428571,0.238095238,0.571428571,0.142857143,0.285714286,0.142857143,0.761904762,0.095238095,0.428571429,0.285714286,0.285714286,0.428571429,0.238095238,0.333333333,1
0.4,0.5,0.1,0.5,0.35,0.15,0.65,0.2,0.15,0.75,0.15,0.1,0.75,0.25,0,0.5,0.4,0.1,0.35,0.4,0.25,0.5,0.35,0.15,0.1,0.5,0.4,0.4,0.45,0.15,0.15,0.65,0.2,0.55,0.3,0.15,0.25,0.4,0.35,1
0.5,0.214285714,0.285714286,0.428571429,0.5,0.071428571,0.5,0.428571429,0.071428571,0.571428571,0.142857143,0.285714286,0.642857143,0.285714286,0.071428571,0.5,0.214285714,0.285714286,0.428571429,0.214285714,0.357142857,0.428571429,0.357142857,0.214285714,0.285714286,0.214285714,0.5,0.357142857,0.428571429,0.214285714,0.214285714,0.571428571,0.214285714,0.428571429,0.285714286,0.285714286,0.428571429,0.5,0.071428571,1
0.133333333,0.533333333,0.333333333,0.266666667,0.533333333,0.2,0.6,0.2,0.2,0.333333333,0.333333333,0.333333333,0.333333333,0.533333333,0.133333333,0.133333333,0.533333333,0.333333333,0.2,0.133333333,0.666666667,0.533333333,0.266666667,0.2,0.333333333,0.533333333,0.133333333,0.533333333,0.266666667,0.2,0.066666667,0.866666667,0.066666667,0.6,0.333333333,0.066666667,0.6,0.133333333,0.266666667,1
0.285714286,0.380952381,0.333333333,0.476190476,0.285714286,0.238095238,0.523809524,0.238095238,0.238095238,0.476190476,0.142857143,0.380952381,0.571428571,0.380952381,0.047619048,0.333333333,0.333333333,0.333333333,0.333333333,0.238095238,0.428571429,0.333333333,0.428571429,0.238095238,0.380952381,0.333333333,0.285714286,0.333333333,0.428571429,0.238095238,0.095238095,0.80952381,0.095238095,0.476190476,0.285714286,0.238095238,0.428571429,0.285714286,0.285714286,1
0.176470588,0.470588235,0.352941176,0.470588235,0.352941176,0.176470588,0.529411765,0.294117647,0.176470588,0.411764706,0.235294118,0.352941176,0.529411765,0.352941176,0.117647059,0.235294118,0.411764706,0.352941176,0.235294118,0.294117647,0.470588235,0.470588235,0.352941176,0.176470588,0.352941176,0.411764706,0.235294118,0.411764706,0.411764706,0.176470588,0.058823529,0.882352941,0.058823529,0.352941176,0.352941176,0.294117647,0.529411765,0.176470588,0.294117647,1
0.583333333,0.083333333,0.333333333,0.333333333,0.5,0.166666667,0.5,0.416666667,0.083333333,0.583333333,0.083333333,0.333333333,0.583333333,0.083333333,0.333333333,0.583333333,0.166666667,0.25,0.583333333,0,0.416666667,0.333333333,0.333333333,0.333333333,0.333333333,0.083333333,0.583333333,0.166666667,0.5,0.333333333,0.25,0.5,0.25,0.583333333,0.333333333,0.083333333,0.416666667,0.583333333,-1.11E-16,1
0.25,0.35,0.4,0.2,0.4,0.4,0.4,0.25,0.35,0.35,0.2,0.45,0.45,0.35,0.2,0.35,0.3,0.35,0.2,0.25,0.55,0.35,0.3,0.35,0.45,0.3,0.25,0.25,0.4,0.35,0.2,0.8,0,0.45,0.4,0.15,0.55,0.25,0.2,1
0.166666667,0.444444444,0.388888889,0.333333333,0.388888889,0.277777778,0.444444444,0.277777778,0.277777778,0.333333333,0.222222222,0.444444444,0.444444444,0.444444444,0.111111111,0.333333333,0.277777778,0.388888889,0.277777778,0.166666667,0.555555556,0.5,0.333333333,0.166666667,0.444444444,0.333333333,0.222222222,0.388888889,0.444444444,0.166666667,0.055555556,0.833333333,0.111111111,0.277777778,0.388888889,0.333333333,0.5,0.166666667,0.333333333,1
0.1875,0.375,0.4375,0.375,0.25,0.375,0.4375,0.1875,0.375,0.375,0.125,0.5,0.4375,0.25,0.3125,0.25,0.3125,0.4375,0.25,0.1875,0.5625,0.4375,0.375,0.1875,0.5,0.3125,0.1875,0.3125,0.5,0.1875,0.0625,0.875,0.0625,0.3125,0.4375,0.25,0.5625,0.1875,0.25,1
0.1,0.2,0.7,0.15,0.25,0.6,0.35,0.15,0.5,0.05,0.2,0.75,0.2,0.55,0.25,0.15,0.25,0.6,0.1,0.1,0.8,0.2,0.55,0.25,0.75,0.15,0.1,0.15,0.6,0.25,0.05,0.9,0.05,0.55,0.35,0.1,0.8,0.1,0.1,1
0.24,0.44,0.32,0.28,0.48,0.24,0.56,0.24,0.2,0.36,0.32,0.32,0.52,0.36,0.12,0.36,0.36,0.28,0.24,0.28,0.48,0.44,0.28,0.28,0.32,0.4,0.28,0.32,0.4,0.28,0.16,0.8,0.04,0.52,0.36,0.12,0.44,0.24,0.32,1
0.25,0.5,0.25,0.45,0.3,0.25,0.75,0.05,0.2,0.4,0.35,0.25,0.45,0.4,0.15,0.3,0.5,0.2,0.2,0.25,0.55,0.55,0.3,0.15,0.25,0.45,0.3,0.55,0.3,0.15,0,0.9,0.1,0.5,0.3,0.2,0.55,0.25,0.2,1
0.266666667,0.4,0.333333333,0.466666667,0.333333333,0.2,0.6,0.2,0.2,0.533333333,0.133333333,0.333333333,0.6,0.266666667,0.133333333,0.266666667,0.4,0.333333333,0.466666667,0.133333333,0.4,0.466666667,0.266666667,0.266666667,0.333333333,0.4,0.266666667,0.466666667,0.266666667,0.266666667,0.133333333,0.733333333,0.133333333,0.4,0.333333333,0.266666667,0.333333333,0.266666667,0.4,1
0.4,0.3,0.3,0.45,0.4,0.15,0.7,0.2,0.1,0.4,0.3,0.3,0.55,0.3,0.15,0.4,0.35,0.25,0.35,0.2,0.45,0.5,0.25,0.25,0.3,0.3,0.4,0.45,0.3,0.25,0.1,0.75,0.15,0.4,0.2,0.4,0.5,0.4,0.1,1
0.6,0.25,0.15,0.5,0.25,0.25,0.65,0.1,0.25,0.65,0.2,0.15,0.8,0.1,0.1,0.75,0.1,0.15,0.5,0.3,0.2,0.4,0.4,0.2,0.15,0.25,0.6,0.25,0.55,0.2,0.15,0.55,0.3,0.4,0.15,0.45,0.25,0.6,0.15,1
0.65,0.15,0.2,0.45,0.35,0.2,0.55,0.25,0.2,0.7,0.1,0.2,0.7,0.15,0.15,0.7,0.1,0.2,0.55,0.15,0.3,0.25,0.35,0.4,0.2,0.15,0.65,0.2,0.4,0.4,0.2,0.55,0.25,0.6,0.15,0.25,0.25,0.65,0.1,1
0.466666667,0.4,0.133333333,0.533333333,0.2,0.266666667,0.733333333,0,0.266666667,0.466666667,0.333333333,0.2,0.733333333,0.2,0.066666667,0.6,0.266666667,0.133333333,0.4,0.333333333,0.266666667,0.4,0.4,0.2,0.2,0.333333333,0.466666667,0.333333333,0.466666667,0.2,0.133333333,0.666666667,0.2,0.466666667,0.2,0.333333333,0.333333333,0.466666667,0.2,1
0.428571429,0.214285714,0.357142857,0.428571429,0.214285714,0.357142857,0.428571429,0.214285714,0.357142857,0.428571429,0.071428571,0.5,0.5,0.285714286,0.214285714,0.571428571,0.071428571,0.357142857,0.428571429,0.071428571,0.5,0.142857143,0.571428571,0.285714286,0.5,0.071428571,0.428571429,0.142857143,0.571428571,0.285714286,0.071428571,0.642857143,0.285714286,0.428571429,0.428571429,0.142857143,0.357142857,0.428571429,0.214285714,1
0.25,0.416666667,0.333333333,0.25,0.583333333,0.166666667,0.583333333,0.25,0.166666667,0.166666667,0.416666667,0.416666667,0.333333333,0.583333333,0.083333333,0.333333333,0.333333333,0.333333333,0.25,0.083333333,0.666666667,0.5,0.25,0.25,0.416666667,0.333333333,0.25,0.5,0.25,0.25,0.083333333,0.75,0.166666667,0.333333333,0.416666667,0.25,0.666666667,0.25,0.083333333,1
0.388888889,0.277777778,0.333333333,0.5,0.222222222,0.277777778,0.555555556,0.166666667,0.277777778,0.5,0.166666667,0.333333333,0.555555556,0.222222222,0.222222222,0.5,0.166666667,0.333333333,0.333333333,0.222222222,0.444444444,0.444444444,0.444444444,0.111111111,0.333333333,0.222222222,0.444444444,0.333333333,0.555555556,0.111111111,0,0.722222222,0.277777778,0.277777778,0.277777778,0.444444444,0.444444444,0.388888889,0.166666667,1
0.65,0.1,0.25,0.25,0.6,0.15,0.45,0.4,0.15,0.5,0.25,0.25,0.65,0.25,0.1,0.7,0.05,0.25,0.6,0.05,0.35,0.15,0.35,0.5,0.25,0.05,0.7,0.15,0.35,0.5,0.4,0.4,0.2,0.7,0.15,0.15,0.25,0.65,0.1,1
0.277777778,0.5,0.222222222,0.5,0.166666667,0.333333333,0.5,0.166666667,0.333333333,0.444444444,0.222222222,0.333333333,0.611111111,0.222222222,0.166666667,0.5,0.277777778,0.222222222,0.222222222,0.388888889,0.388888889,0.388888889,0.333333333,0.277777778,0.333333333,0.333333333,0.333333333,0.333333333,0.388888889,0.277777778,0.055555556,0.833333333,0.111111111,0.166666667,0.388888889,0.444444444,0.388888889,0.277777778,0.333333333,1
0.363636364,0.227272727,0.409090909,0.363636364,0.272727273,0.363636364,0.409090909,0.227272727,0.363636364,0.409090909,0.136363636,0.454545455,0.5,0.318181818,0.181818182,0.409090909,0.181818182,0.409090909,0.409090909,0.090909091,0.5,0.272727273,0.454545455,0.272727273,0.454545455,0.181818182,0.363636364,0.272727273,0.454545455,0.272727273,0.136363636,0.727272727,0.136363636,0.5,0.272727273,0.227272727,0.5,0.363636364,0.136363636,1
0.55,0.3,0.15,0.55,0.15,0.3,0.55,0.15,0.3,0.85,0,0.15,0.85,0.05,0.1,0.75,0.1,0.15,0.6,0.25,0.15,0.45,0.45,0.1,0.15,0.3,0.55,0.25,0.65,0.1,0.1,0.55,0.35,0.35,0.15,0.5,0.15,0.55,0.3,1
0.384615385,0.307692308,0.307692308,0.384615385,0.307692308,0.307692308,0.538461538,0.153846154,0.307692308,0.538461538,0.153846154,0.307692308,0.538461538,0.153846154,0.307692308,0.384615385,0.307692308,0.307692308,0.538461538,0,0.461538462,0.384615385,0.230769231,0.384615385,0.307692308,0.307692308,0.384615385,0.384615385,0.230769231,0.384615385,0.153846154,0.615384615,0.230769231,0.461538462,0.307692308,0.230769231,0.461538462,0.384615385,0.153846154,1
0.583333333,0.166666667,0.25,0.5,0.416666667,0.083333333,0.583333333,0.333333333,0.083333333,0.583333333,0.166666667,0.25,0.666666667,0.25,0.083333333,0.666666667,0.083333333,0.25,0.5,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.25,0.083333333,0.666666667,0.333333333,0.333333333,0.333333333,0.166666667,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.25,0.583333333,0.166666667,1
0.55,0.15,0.3,0.45,0.2,0.35,0.6,0.05,0.35,0.55,0.15,0.3,0.65,0.2,0.15,0.6,0.1,0.3,0.55,0.1,0.35,0.3,0.45,0.25,0.3,0.15,0.55,0.25,0.5,0.25,0.15,0.6,0.25,0.55,0.15,0.3,0.35,0.55,0.1,1
0.2,0.4,0.4,0.333333333,0.4,0.266666667,0.6,0.133333333,0.266666667,0.333333333,0.266666667,0.4,0.4,0.466666667,0.133333333,0.2,0.4,0.4,0.333333333,0.066666667,0.6,0.466666667,0.4,0.133333333,0.4,0.4,0.2,0.466666667,0.4,0.133333333,0.066666667,0.8,0.133333333,0.466666667,0.333333333,0.2,0.6,0.2,0.2,1
0.222222222,0.388888889,0.388888889,0.277777778,0.222222222,0.5,0.333333333,0.166666667,0.5,0.388888889,0.111111111,0.5,0.444444444,0.444444444,0.111111111,0.5,0.111111111,0.388888889,0.222222222,0.222222222,0.555555556,0.333333333,0.333333333,0.333333333,0.5,0.222222222,0.277777778,0.222222222,0.444444444,0.333333333,0.055555556,0.833333333,0.111111111,0.388888889,0.388888889,0.222222222,0.333333333,0.222222222,0.444444444,1
0.05,0.35,0.6,0.25,0.2,0.55,0.4,0.1,0.5,0.15,0.2,0.65,0.25,0.5,0.25,0.1,0.35,0.55,0.1,0.15,0.75,0.35,0.45,0.2,0.65,0.3,0.05,0.35,0.45,0.2,0,0.95,0.05,0.4,0.4,0.2,0.75,0.05,0.2,1
